TIME,T,RRR
01.01.2024 23:00,-0.5,No precipitation
01.01.2024 20:00,1.9,No precipitation
01.01.2024 17:00,6.6,No precipitation
01.01.2024 14:00,6.5,No precipitation
01.01.2024 11:00,3.9,No precipitation
01.01.2024 08:00,-3.6,No precipitation
01.01.2024 05:00,-3.7,No precipitation
01.01.2024 02:00,-2.8,No precipitation
31.12.2023 23:00,-1.7,No precipitation
31.12.2023 20:00,2.7,No precipitation
31.12.2023 17:00,5.9,No precipitation
31.12.2023 14:00,7.4,No precipitation
31.12.2023 11:00,5.6,No precipitation
31.12.2023 08:00,-2.9,No precipitation
31.12.2023 05:00,-2.3,No precipitation
31.12.2023 02:00,1.0,No precipitation
30.12.2023 23:00,7.7,No precipitation
30.12.2023 20:00,10.7,No precipitation
30.12.2023 17:00,12.8,No precipitation
30.12.2023 14:00,13.5,No precipitation
30.12.2023 11:00,10.6,No precipitation
30.12.2023 08:00,1.0,No precipitation
30.12.2023 05:00,-1.2,No precipitation
30.12.2023 02:00,-0.4,No precipitation
29.12.2023 23:00,1.3,No precipitation
29.12.2023 20:00,2.6,
29.12.2023 17:00,4.8,2
29.12.2023 14:00,5.6,2
29.12.2023 11:00,4.0,2
29.12.2023 08:00,1.3,0.4
29.12.2023 05:00,1.4,No precipitation
29.12.2023 02:00,-0.6,No precipitation
28.12.2023 23:00,-1.1,No precipitation
28.12.2023 20:00,0.7,No precipitation
28.12.2023 17:00,4.4,No precipitation
28.12.2023 14:00,5.5,No precipitation
28.12.2023 11:00,2.8,No precipitation
28.12.2023 08:00,-4.1,No precipitation
28.12.2023 05:00,-4.7,No precipitation
28.12.2023 02:00,-3.8,No precipitation
27.12.2023 23:00,-3.1,No precipitation
27.12.2023 20:00,0.6,No precipitation
27.12.2023 17:00,3.4,No precipitation
27.12.2023 14:00,4.4,No precipitation
27.12.2023 11:00,2.5,No precipitation
27.12.2023 08:00,-1.4,No precipitation
27.12.2023 05:00,-1.1,No precipitation
27.12.2023 02:00,0.8,No precipitation
26.12.2023 23:00,0.9,No precipitation
26.12.2023 20:00,1.5,No precipitation
26.12.2023 17:00,2.7,No precipitation
26.12.2023 14:00,6.0,No precipitation
26.12.2023 11:00,6.6,No precipitation
26.12.2023 08:00,-2.7,No precipitation
26.12.2023 05:00,-3.4,No precipitation
26.12.2023 02:00,-2.6,No precipitation
25.12.2023 23:00,-0.9,No precipitation
25.12.2023 20:00,0.4,No precipitation
25.12.2023 17:00,7.3,No precipitation
25.12.2023 14:00,9.5,No precipitation
25.12.2023 11:00,5.2,No precipitation
25.12.2023 08:00,-4.4,No precipitation
25.12.2023 05:00,-2.7,No precipitation
25.12.2023 02:00,-2.9,No precipitation
24.12.2023 23:00,-1.6,No precipitation
24.12.2023 20:00,0.5,No precipitation
24.12.2023 17:00,4.7,No precipitation
24.12.2023 14:00,5.0,No precipitation
24.12.2023 11:00,2.4,No precipitation
24.12.2023 08:00,-1.6,No precipitation
24.12.2023 05:00,-6.5,No precipitation
24.12.2023 02:00,-6.1,No precipitation
23.12.2023 23:00,-3.7,No precipitation
23.12.2023 20:00,-1.5,No precipitation
23.12.2023 17:00,4.6,No precipitation
23.12.2023 14:00,5.6,No precipitation
23.12.2023 11:00,1.7,No precipitation
23.12.2023 08:00,-6.2,No precipitation
23.12.2023 05:00,-5.6,No precipitation
23.12.2023 02:00,-4.2,No precipitation
22.12.2023 23:00,-3.1,No precipitation
22.12.2023 20:00,-0.8,No precipitation
22.12.2023 17:00,0.6,No precipitation
22.12.2023 14:00,2.2,No precipitation
22.12.2023 11:00,-1.0,No precipitation
22.12.2023 08:00,-6.3,No precipitation
22.12.2023 05:00,-5.0,No precipitation
22.12.2023 02:00,-4.2,No precipitation
21.12.2023 23:00,-3.7,No precipitation
21.12.2023 20:00,-2.8,No precipitation
21.12.2023 17:00,-1.5,No precipitation
21.12.2023 14:00,-1.7,No precipitation
21.12.2023 11:00,-3.7,No precipitation
21.12.2023 08:00,-5.7,No precipitation
21.12.2023 05:00,-5.2,No precipitation
21.12.2023 02:00,-4.7,No precipitation
20.12.2023 23:00,-7.4,No precipitation
20.12.2023 20:00,-4.3,No precipitation
20.12.2023 17:00,-1.8,No precipitation
